Date,35t_CO (ppm),35t_NO (ppb),35t_NOX (ppb),35t_NO2 (ppb),35t_SO2 (ppb),35t_O3 (ppb),35t_PM10 (ug/m3),35t_WD (Degree),35t_TEMP (C),35t_RH (%),35t_SRAD (w/m2),35t_NRAD (w/m2),35t_BP (mmHG),35t_RAIN (mm),35t_WS (m/s),35t_THC (ppm),35t_PM2.5 (ug/m3)
2020-08-17 00:00:00,-,0,2,5,0,5,35,315,25.3,87,-,-,-,0.0,0.3,-,16
2020-08-17 01:00:00,-,79,85,6,93,105,33,322,25.3,88,-,-,-,0.0,0.2,-,16
2020-08-17 02:00:00,-,0,1,1,0,5,36,57,25.1,90,-,-,-,0.0,0.0,-,20
2020-08-17 03:00:00,-,0,0,1,0,7,38,169,24.8,88,-,-,-,0.0,0.3,-,17
2020-08-17 04:00:00,-,0,1,1,0,8,29,125,24.2,87,-,-,-,0.0,0.1,-,14
2020-08-17 05:00:00,-,0,2,3,0,6,23,344,24.2,88,-,-,-,0.0,0.1,-,14
2020-08-17 06:00:00,-,3,9,6,0,2,22,294,24.3,89,-,-,-,0.0,0.0,-,12
2020-08-17 07:00:00,-,4,10,6,0,4,34,197,25.0,84,-,-,-,0.0,0.1,-,16
2020-08-17 08:00:00,-,5,11,6,0,8,34,136,26.0,77,-,-,-,0.0,0.3,-,14
2020-08-17 09:00:00,-,4,11,7,1,13,31,167,27.0,69,-,-,-,0.0,0.6,-,13
2020-08-17 10:00:00,-,10,20,10,1,17,41,146,28.4,65,-,-,-,0.0,0.4,-,16
2020-08-17 11:00:00,-,6,17,11,1,27,42,154,28.7,64,-,-,-,0.0,0.3,-,20
2020-08-17 12:00:00,-,2,8,5,0,31,44,206,28.7,64,-,-,-,0.0,0.4,-,27
2020-08-17 13:00:00,-,4,17,12,0,20,43,332,28.8,66,-,-,-,0.0,0.2,-,19
2020-08-17 14:00:00,-,2,14,11,0,24,46,331,29.0,67,-,-,-,0.0,0.4,-,24
2020-08-17 15:00:00,-,1,6,5,0,31,51,191,28.8,68,-,-,-,0.0,1.1,-,23
2020-08-17 16:00:00,-,0,7,7,0,29,45,190,28.6,68,-,-,-,1.6,0.8,-,24
2020-08-17 17:00:00,-,-,-,10,-,-,40,77,24.3,97,-,-,-,1.4,0.1,-,23
2020-08-17 18:00:00,-,2,11,9,0,7,40,131,24.0,99,-,-,-,0.0,0.1,-,21
2020-08-17 19:00:00,-,0,8,7,0,6,36,137,23.6,98,-,-,-,0.0,0.4,-,17
